"TOA5","Compass_OWC_W_321","CR1000X","28729","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","ClimaVue50_24hr"
"TIMESTAMP","RECORD","BattV_Min","Rain_mm_Tot","SlrFD_W_Avg","SlrTF_MJ_Tot","WS_ms_WVc(1)","WS_ms_WVc(2)","WS_ms_S_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH_Max","RH_Min","RHT_C_Max","RHT_C_Min","TiltNS_deg_Max","TiltNS_deg_TMx","TiltNS_deg_Min","TiltNS_deg_TMn","TiltWE_deg_Max","TiltWE_deg_TMx","TiltWE_deg_Min","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"2022-04-17 00:00:00",29,13.14,2.652,175.7,1.26519,1.941,308,0,12.92,"2022-04-16 20:28:00",6.903,9.2,"2022-04-16 14:38:00",2.6,"2022-04-16 23:52:00",7.512499,1001.1,"2022-04-17 00:00:00",993.4,"2022-04-16 02:52:00",98.5,50.7,12.7,2.5,2.7,"2022-04-16 19:54:00",-3.2,"2022-04-16 18:34:00",5.6,"2022-04-16 18:51:00",-5.3,215.2,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-18 00:00:00",30,13.16,0,180.5,1.29975,1.443,44.2,0,8.55,"2022-04-17 02:51:00",1.772,4.6,"2022-04-17 13:24:00",-1.7,"2022-04-17 23:04:00",4.341805,1007.4,"2022-04-17 11:12:00",1000.9,"2022-04-17 00:04:00",91.4,48.6,8.1,-2.1,1.6,"2022-04-17 00:47:00",-2.2,"2022-04-17 00:01:00",1.9,"2022-04-17 00:36:00",-3.5,216.1,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-19 00:00:00",31,13.2,16.91,27.64,0.199,0.731,228.8,0,4.41,"2022-04-18 17:09:00",1.082,3.8,"2022-04-18 09:01:00",-1.6,"2022-04-18 01:12:00",5.747569,1003.4,"2022-04-18 00:01:00",991.3,"2022-04-18 14:22:00",99.5,57.1,4.1,-2,0,"2022-04-18 15:13:00",-1.3,"2022-04-18 17:06:00",1.5,"2022-04-18 17:06:00",-0.3,38.95,3366,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-20 00:00:00",32,13.15,7.31,80,0.576215,2.732,290,0,13.47,"2022-04-19 09:55:00",3.633,7,"2022-04-19 17:23:00",-0.5,"2022-04-19 23:58:00",5.882291,1004.1,"2022-04-20 00:00:00",991.9,"2022-04-19 02:19:00",97.2,52,7.4,-0.3,5.8,"2022-04-19 10:19:00",-3.5,"2022-04-19 08:22:00",5.5,"2022-04-19 08:04:00",-4.2,103.4,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-21 00:00:00",33,13.12,0,186.2,0.6778499,0.883,147.4,0,4.32,"2022-04-20 23:27:00",10.01,12.3,"2022-04-20 13:22:00",7.4,"2022-04-20 16:39:00",7.077884,1007.7,"2022-04-20 11:53:00",998.1,"2022-04-20 23:59:00",82,39.2,15.1,8.2,-0.3,"2022-04-20 11:55:00",-1.6,"2022-04-20 12:28:00",1,"2022-04-20 18:32:00",-0.2,230.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-22 00:00:00",34,13.12,0.459,101.2,0.72886,1.426,254,0,8.87,"2022-04-21 17:13:00",12.95,20.3,"2022-04-21 16:36:00",5.5,"2022-04-21 23:59:00",10.76514,1007.8,"2022-04-22 00:00:00",996.1,"2022-04-21 03:17:00",92.8,39.8,21.3,5.2,0.1,"2022-04-21 14:47:00",-2.3,"2022-04-21 13:49:00",2.1,"2022-04-21 13:26:00",-1.2,130,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-23 00:00:00",35,13.16,0,104.4,0.7518299,0.721,102,0,4.25,"2022-04-22 11:32:00",8.02,11,"2022-04-22 16:12:00",3.5,"2022-04-22 05:53:00",8.281597,1013,"2022-04-22 08:55:00",1005.2,"2022-04-22 23:46:00",98,53.9,13.3,3.5,-0.2,"2022-04-22 03:19:00",-1.2,"2022-04-22 09:58:00",0.9,"2022-04-22 03:19:00",-0.1,132.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-24 00:00:00",36,13.08,0,209,1.504665,0.692,178.1,0,4.16,"2022-04-23 04:33:00",18.94,29.8,"2022-04-23 15:47:00",8.3,"2022-04-23 00:31:00",12.55472,1005.3,"2022-04-23 00:01:00",995.1,"2022-04-23 23:38:00",89.8,29.4,31.9,8.3,-0.2,"2022-04-23 11:22:00",-1.4,"2022-04-23 14:28:00",1,"2022-04-23 11:24:00",-0.2,257.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-25 00:00:00",37,13.06,0,199.8,1.438625,0.685,197.2,0,4.53,"2022-04-24 11:49:00",21.5,29,"2022-04-24 13:54:00",12.9,"2022-04-24 04:20:00",15.44361,996.4,"2022-04-24 06:41:00",992.2,"2022-04-24 17:13:00",93.3,39.5,31.8,12.6,-0.3,"2022-04-24 09:22:00",-1.1,"2022-04-24 09:05:00",1,"2022-04-24 08:30:00",-0.1,250.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-26 00:00:00",38,13.15,5.95,62.66,0.451185,0.822,274.6,0,7.75,"2022-04-25 12:52:00",15.19,21.3,"2022-04-25 03:02:00",10.2,"2022-04-25 21:23:00",15.35806,999.1,"2022-04-25 23:44:00",992.4,"2022-04-25 01:18:00",100,61.8,21.4,10.2,0.3,"2022-04-25 12:35:00",-2.8,"2022-04-25 12:52:00",1.4,"2022-04-25 12:52:00",-0.4,83.7,7229,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-27 00:00:00",39,13.15,0,71.53,0.5150499,2.169,296.8,0,8.35,"2022-04-26 21:42:00",7.574,11.3,"2022-04-26 00:08:00",4.2,"2022-04-26 23:52:00",7.171528,1003.2,"2022-04-26 21:12:00",999.1,"2022-04-26 00:01:00",82.9,56.8,10.8,4.4,0.6,"2022-04-26 21:16:00",-2.8,"2022-04-26 19:30:00",2.1,"2022-04-26 20:59:00",-2.1,90.2,7792,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-28 00:00:00",40,13.18,0,121.3,0.8730199,1.86,307.1,0,10.98,"2022-04-27 10:38:00",2.874,5.4,"2022-04-27 14:35:00",-0.4,"2022-04-27 23:28:00",5.201666,1006.3,"2022-04-27 23:58:00",1002.9,"2022-04-27 03:08:00",86,59.6,7.2,-0.4,2.4,"2022-04-27 11:45:00",-3.1,"2022-04-27 10:23:00",2.7,"2022-04-27 10:10:00",-2.9,149,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-29 00:00:00",41,13.16,0,211.5,1.52305,0.858,103.2,0,3.65,"2022-04-28 13:49:00",3.191,7.5,"2022-04-28 17:29:00",-1.6,"2022-04-28 05:52:00",5.252361,1008.1,"2022-04-28 10:54:00",1004.1,"2022-04-28 23:00:00",94.1,38.3,10.4,-1.7,-0.2,"2022-04-28 13:52:00",-1.1,"2022-04-28 11:28:00",1.5,"2022-04-28 12:15:00",-0.1,253.6,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-30 00:00:00",42,13.12,0,220.9,1.590435,0.962,128.7,0,6.6,"2022-04-29 15:28:00",5.016,12.1,"2022-04-29 10:31:00",-1.9,"2022-04-29 04:45:00",6.185416,1005.2,"2022-04-29 07:30:00",1000.4,"2022-04-29 23:55:00",97.4,36.4,16,-1.9,0,"2022-04-29 08:35:00",-1.3,"2022-04-29 08:20:00",1.9,"2022-04-29 13:00:00",-0.4,267,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-01 00:00:00",43,13.15,0,132.4,0.953365,0.713,115.1,0,4.08,"2022-04-30 13:10:00",8.82,15.4,"2022-04-30 23:50:00",2,"2022-04-30 03:26:00",8.324861,1000.6,"2022-04-30 08:11:00",990.9,"2022-04-30 23:51:00",89.1,41.2,16.2,2.2,-0.2,"2022-04-30 13:22:00",-1.3,"2022-04-30 13:55:00",1.2,"2022-04-30 11:38:00",-0.1,166,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-02 00:00:00",44,13.12,3.485,137.2,0.9878299,1.455,277.8,0,10.66,"2022-05-01 16:14:00",16.98,24.4,"2022-05-01 14:52:00",11.2,"2022-05-01 05:31:00",14.09354,994.1,"2022-05-01 23:53:00",986.6,"2022-05-01 14:54:00",100,43.3,24.9,11.4,2.4,"2022-05-01 17:03:00",-3.3,"2022-05-01 16:16:00",2.8,"2022-05-01 05:19:00",-1.9,170.9,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-03 00:00:00",45,13.16,0,78.56,0.565605,1.042,286,0,6.33,"2022-05-02 14:35:00",11.37,14.1,"2022-05-02 14:45:00",7.6,"2022-05-02 21:03:00",10.35076,998.5,"2022-05-02 19:38:00",993.7,"2022-05-02 02:21:00",94.7,62.3,15,7.7,5.5,"2022-05-02 16:32:00",-3.5,"2022-05-02 10:13:00",12.4,"2022-05-02 16:32:00",-1.3,100.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-04 00:00:00",46,13.15,14.42,55.25,0.39783,0.763,163.4,0,4.93,"2022-05-03 18:13:00",13.08,21.2,"2022-05-03 16:19:00",8.2,"2022-05-03 00:49:00",14.43062,998.4,"2022-05-03 00:26:00",985.2,"2022-05-03 18:00:00",100,78.8,21.8,8.3,0.1,"2022-05-03 22:56:00",-1.6,"2022-05-03 19:20:00",2.1,"2022-05-03 21:37:00",-0.3,72.17,6235,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-05 00:00:00",47,13.16,1.462,41.09,0.295865,0.93,337.3,0,4.85,"2022-05-04 05:27:00",9.57,10.7,"2022-05-04 00:01:00",6.7,"2022-05-04 23:58:00",11.49319,1002.7,"2022-05-04 21:30:00",990.5,"2022-05-04 00:01:00",100,84,10.9,7.1,0.1,"2022-05-04 06:55:00",-1.7,"2022-05-04 05:03:00",1.4,"2022-05-04 05:54:00",-0.4,52.7,4554,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-06 00:00:00",48,13.05,3.842,82.1,0.591445,0.595,89.7,0,2.92,"2022-05-05 13:11:00",8.68,11,"2022-05-05 16:26:00",4.9,"2022-05-05 02:10:00",10.78819,1002.4,"2022-05-05 00:02:00",992.7,"2022-05-05 23:18:00",100,85.2,11.8,5.1,-0.4,"2022-05-05 05:03:00",-1.1,"2022-05-05 15:49:00",0.9,"2022-05-05 11:24:00",0,104.4,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-07 00:00:00",49,11.86,26.57,30.46,0.21934,0.906,92.4,0,5.34,"2022-05-06 23:37:00",9.55,10.7,"2022-05-06 07:43:00",8.6,"2022-05-06 17:52:00",11.70243,993.2,"2022-05-06 00:01:00",984.1,"2022-05-06 15:49:00",100,85.1,10.8,8.5,0.3,"2022-05-06 13:15:00",-1.4,"2022-05-06 22:45:00",1.4,"2022-05-06 09:24:00",-0.6,41.88,3619,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-08 00:00:00",50,11.84,0,234.7,1.689875,1.305,105.6,0,7,"2022-05-07 12:28:00",10.02,12.4,"2022-05-07 16:52:00",6.9,"2022-05-07 22:17:00",8.481319,996.3,"2022-05-07 23:30:00",984.8,"2022-05-07 01:05:00",89.3,39,14.4,7.1,0.5,"2022-05-07 08:56:00",-1.6,"2022-05-07 05:24:00",1.9,"2022-05-07 02:39:00",-0.7,286.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-09 00:00:00",51,11.79,0,238.1,1.714425,0.788,118.5,0,4.43,"2022-05-08 15:23:00",9.09,14.6,"2022-05-08 09:30:00",2.4,"2022-05-08 05:35:00",9.215834,999.4,"2022-05-08 08:02:00",995.8,"2022-05-08 00:51:00",100,52.6,19.4,2.3,-0.2,"2022-05-08 09:00:00",-1.4,"2022-05-08 12:52:00",1,"2022-05-08 08:52:00",-0.3,286.6,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-10 00:00:00",52,11.73,0,239,1.720985,0.935,133.9,0,8.28,"2022-05-09 10:23:00",14.44,23.8,"2022-05-09 16:14:00",6.1,"2022-05-09 05:22:00",9.304722,1001.8,"2022-05-09 10:12:00",998.2,"2022-05-09 01:53:00",92.9,26.2,25.2,6.1,0.5,"2022-05-09 10:24:00",-1.4,"2022-05-09 12:19:00",1.6,"2022-05-09 11:08:00",-0.1,290,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-11 00:00:00",53,11.66,0,202.1,1.4554,0.865,143.8,0,5.96,"2022-05-10 07:36:00",19.36,28.4,"2022-05-10 16:13:00",10,"2022-05-10 04:02:00",9.96007,1003.8,"2022-05-10 07:19:00",999.6,"2022-05-10 00:01:00",74.2,27.8,29.8,10,-0.1,"2022-05-10 08:40:00",-1.9,"2022-05-10 07:13:00",1,"2022-05-10 00:18:00",-0.3,249.7,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-12 00:00:00",54,11.58,0,153.5,1.10544,0.626,128.1,0,3.33,"2022-05-11 08:35:00",17.54,24,"2022-05-11 11:16:00",10.7,"2022-05-11 23:56:00",11.42111,1004.8,"2022-05-11 10:08:00",1001.8,"2022-05-11 03:07:00",92.9,29.1,26.9,10.6,-0.2,"2022-05-11 11:52:00",-1.2,"2022-05-11 07:55:00",0.9,"2022-05-11 00:28:00",0.1,186.6,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-13 00:00:00",55,11.56,0,211.4,1.522235,0.653,119.6,0,3.7,"2022-05-12 15:18:00",15.31,24.6,"2022-05-12 09:19:00",8.7,"2022-05-12 04:59:00",12.40569,1003.4,"2022-05-12 09:57:00",999.4,"2022-05-12 18:44:00",100,34.3,28.3,8.6,2.4,"2022-05-12 13:20:00",-1.4,"2022-05-12 12:33:00",2.2,"2022-05-12 13:04:00",-1.4,250.9,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-14 00:00:00",56,13.04,0,198.7,1.430745,0.661,119.7,0,3.88,"2022-05-13 13:16:00",19.25,28.3,"2022-05-13 12:41:00",12.6,"2022-05-13 00:02:00",16.93618,999.9,"2022-05-13 07:40:00",994.8,"2022-05-13 18:33:00",98.1,45.3,31.5,12.3,-0.4,"2022-05-13 08:27:00",-1.1,"2022-05-13 08:56:00",1.1,"2022-05-13 13:04:00",0.1,235,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-15 00:00:00",57,13.08,0.238,93.7,0.67452,0.547,140.4,0,6.37,"2022-05-14 17:46:00",18.99,25.7,"2022-05-14 14:32:00",14.9,"2022-05-14 23:42:00",18.83306,995.2,"2022-05-14 00:40:00",990.1,"2022-05-14 16:26:00",98.4,55.1,27.1,14.7,0.4,"2022-05-14 17:46:00",-1,"2022-05-14 12:00:00",1.1,"2022-05-14 17:46:00",0.1,115.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-16 00:00:00",58,13.08,0,189.5,1.364615,0.71,134.7,0,5.75,"2022-05-15 20:49:00",19.05,25.2,"2022-05-15 16:48:00",13.8,"2022-05-15 04:32:00",17.66014,992.4,"2022-05-15 10:33:00",987.4,"2022-05-15 18:38:00",100,48.3,26.7,13.7,0.1,"2022-05-15 20:50:00",-1.2,"2022-05-15 20:58:00",1.2,"2022-05-15 09:34:00",-0.5,226.7,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-17 00:00:00",59,13.1,7.123,165.3,1.190175,1.678,299.3,0,9.04,"2022-05-16 17:39:00",16.68,23.1,"2022-05-16 17:15:00",11.5,"2022-05-16 23:52:00",13.80292,990.5,"2022-05-16 21:42:00",986.8,"2022-05-16 16:22:00",100,35.1,23.2,11.5,1.2,"2022-05-16 19:23:00",-3.1,"2022-05-16 18:50:00",2.2,"2022-05-16 13:31:00",-1.3,189.7,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-18 00:00:00",60,13.12,0,205.8,1.48166,0.752,138.4,0,4.73,"2022-05-17 11:37:00",12.83,17.3,"2022-05-17 16:08:00",9.2,"2022-05-17 23:46:00",10.70889,997.2,"2022-05-17 23:25:00",989.7,"2022-05-17 02:23:00",94.4,46.8,19.6,9.1,-0.3,"2022-05-17 12:00:00",-1.2,"2022-05-17 10:31:00",1.5,"2022-05-17 11:23:00",-0.1,236.1,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-19 00:00:00",61,13.15,6.868,34.83,0.250795,0.425,149.4,0,3.66,"2022-05-18 11:14:00",12.71,16.2,"2022-05-18 12:30:00",8.4,"2022-05-18 02:19:00",13.20285,997.1,"2022-05-18 00:02:00",986.3,"2022-05-18 23:57:00",100,65.3,16.8,8.2,-0.4,"2022-05-18 02:21:00",-1.1,"2022-05-18 12:56:00",0.7,"2022-05-18 01:25:00",0.1,44.03,3804,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-20 00:00:00",62,13.08,0.051,158.8,1.14304,0.963,239.6,0,6.38,"2022-05-19 14:17:00",19.17,26.2,"2022-05-19 16:42:00",14.1,"2022-05-19 00:01:00",17.87785,987.5,"2022-05-19 11:43:00",982.9,"2022-05-19 23:56:00",100,50.8,27.2,13.9,0.3,"2022-05-19 10:32:00",-1.7,"2022-05-19 12:39:00",1.4,"2022-05-19 09:17:00",-0.7,187.6,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-21 00:00:00",63,13.1,0,99.8,0.71821,0.693,170.2,0,4.65,"2022-05-20 13:43:00",22.42,28.7,"2022-05-20 14:18:00",17.4,"2022-05-20 04:44:00",22.14451,987.9,"2022-05-20 23:09:00",981.3,"2022-05-20 03:55:00",94.4,60,30,17.2,-0.2,"2022-05-20 13:34:00",-1.5,"2022-05-20 13:49:00",1.3,"2022-05-20 13:56:00",0,118.6,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-22 00:00:00",64,12.46,31.72,123.1,0.8864849,0.752,155.6,0,6.72,"2022-05-21 16:21:00",21.76,28.6,"2022-05-21 12:34:00",16.8,"2022-05-21 23:52:00",22.11972,997.4,"2022-05-21 18:16:00",987.4,"2022-05-21 00:45:00",100,63.6,32,16.7,1.4,"2022-05-21 16:21:00",-1.3,"2022-05-21 12:28:00",1,"2022-05-21 10:57:00",-0.9,143.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-23 00:00:00",65,12.3,0.034,82.7,0.595315,0.947,138.9,0,6.43,"2022-05-22 23:09:00",15.01,18,"2022-05-22 06:46:00",12.4,"2022-05-22 21:35:00",16.11062,1005.7,"2022-05-22 23:47:00",993.7,"2022-05-22 02:21:00",100,67.5,17.9,12.3,0.5,"2022-05-22 07:10:00",-1.7,"2022-05-22 08:00:00",1.8,"2022-05-22 06:50:00",-1.4,98.4,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-24 00:00:00",66,13.1,0,130.8,0.9419249,0.817,141.8,0,6.02,"2022-05-23 00:15:00",12.88,14.6,"2022-05-23 19:13:00",10.9,"2022-05-23 04:17:00",10.91562,1006.9,"2022-05-23 09:22:00",1004,"2022-05-23 18:36:00",93,56.4,16.2,10.9,0.2,"2022-05-23 00:44:00",-1.9,"2022-05-23 00:40:00",1.6,"2022-05-23 00:40:00",-1.2,148.4,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-25 00:00:00",67,12.4,0,191.8,1.381225,0.642,119.7,0,3.56,"2022-05-24 00:44:00",13.41,15.9,"2022-05-24 19:05:00",10.9,"2022-05-24 04:40:00",12.63792,1004.2,"2022-05-24 00:01:00",1001.6,"2022-05-24 23:39:00",94.9,72.7,21.2,10.6,-0.4,"2022-05-24 00:14:00",-2.3,"2022-05-24 12:02:00",9,"2022-05-24 12:02:00",-0.1,222.3,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-26 00:00:00",68,12.15,0,113,0.81384,0.728,131.3,0,6.69,"2022-05-25 15:45:00",19.02,26,"2022-05-25 17:01:00",11.2,"2022-05-25 00:52:00",17.94521,1001.6,"2022-05-25 00:01:00",993.7,"2022-05-25 23:38:00",100,59.4,26.7,11.1,0.5,"2022-05-25 23:33:00",-1.8,"2022-05-25 13:21:00",1.8,"2022-05-25 23:52:00",-0.2,137.1,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-27 00:00:00",69,12.1,12.29,95.3,0.685935,0.671,166.4,0,7.51,"2022-05-26 17:23:00",20.1,23.3,"2022-05-26 16:08:00",17.5,"2022-05-26 23:17:00",20.79132,995,"2022-05-26 00:08:00",989.3,"2022-05-27 00:00:00",100,72.7,25.1,17.4,0.3,"2022-05-26 09:50:00",-2.4,"2022-05-26 17:24:00",1.6,"2022-05-26 17:24:00",-0.6,115.3,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-28 00:00:00",70,12.11,2.754,105.9,0.76223,0.571,188.6,0,4.84,"2022-05-27 09:57:00",17.71,20.9,"2022-05-27 14:23:00",16.1,"2022-05-27 23:30:00",19.0516,989.4,"2022-05-27 00:02:00",985.9,"2022-05-27 14:00:00",100,72.7,23.4,16.1,-0.1,"2022-05-27 10:02:00",-1.2,"2022-05-27 10:15:00",1.1,"2022-05-27 10:14:00",-0.1,124.9,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-29 00:00:00",71,12.16,0.017,146,1.05152,0.745,145.8,0,4.74,"2022-05-28 07:08:00",16.36,19.7,"2022-05-28 14:31:00",13.6,"2022-05-28 05:52:00",15.37507,994.3,"2022-05-28 23:45:00",987.7,"2022-05-28 00:06:00",100,58.9,21.2,14,-0.3,"2022-05-28 07:29:00",-1.8,"2022-05-28 07:08:00",1.9,"2022-05-28 09:16:00",-0.3,168.9,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-05-30 00:00:00",72,13.01,0,182.3,1.31256,0.636,140.8,0,4.74,"2022-05-29 11:48:00",19.91,26.5,"2022-05-29 15:17:00",14.1,"2022-05-29 01:59:00",18.83257,996.3,"2022-05-29 07:17:00",993.8,"2022-05-29 16:09:00",100,54.5,27.5,14.3,-0.3,"2022-05-29 11:22:00",-1.2,"2022-05-29 10:56:00",0.8,"2022-05-29 08:25:00",0,205.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
