"TOA5","COMPASS_GCW_W_431","CR1000X","42102","CR1000X.Std.06.00","CPU:COMPASS_v3.1GCW.CR1X","53752","ClimaVue50_15min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","SlrTF_MJ_Tot","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","Invalid_Wind_Tot","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","Strikes_Tot","Dist_km_Min","Dist_km_TMn","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"TS","RN","W/m^2","MJ/m^2","mm","meters/second","Deg","Deg","meters/second","meters/second","","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","mbar","mbar","mbar","mbar","mbar","%","Deg C","degrees","degrees","count","kilometers","kilometers","micromols/s/m^2","mmol/m^2second",""
"","","Avg","Tot","Tot","WVc","WVc","WVc","Max","TMx","Tot","Avg","Max","TMx","Min","TMn","Avg","Smp","Max","TMx","Min","TMn","Smp","Avg","Avg","Avg","Tot","Min","TMn","Avg","Tot","Smp"
"2022-10-19 20:30:00",1866,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 20:30:00",0,"NAN","NAN","2022-10-19 20:30:00","NAN","2022-10-19 20:30:00","NAN","NAN","NAN","2022-10-19 20:30:00","NAN","2022-10-19 20:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 20:30:00",0,0,"NAN"
"2022-10-19 20:45:00",1867,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 20:45:00",0,"NAN","NAN","2022-10-19 20:45:00","NAN","2022-10-19 20:45:00","NAN","NAN","NAN","2022-10-19 20:45:00","NAN","2022-10-19 20:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 20:45:00",0,0,"NAN"
"2022-10-19 21:00:00",1868,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 21:00:00",0,"NAN","NAN","2022-10-19 21:00:00","NAN","2022-10-19 21:00:00","NAN","NAN","NAN","2022-10-19 21:00:00","NAN","2022-10-19 21:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 21:00:00",0,0,"NAN"
"2022-10-19 21:15:00",1869,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 21:15:00",0,"NAN","NAN","2022-10-19 21:15:00","NAN","2022-10-19 21:15:00","NAN","NAN","NAN","2022-10-19 21:15:00","NAN","2022-10-19 21:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 21:15:00",0,0,"NAN"
"2022-10-19 21:30:00",1870,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 21:30:00",0,"NAN","NAN","2022-10-19 21:30:00","NAN","2022-10-19 21:30:00","NAN","NAN","NAN","2022-10-19 21:30:00","NAN","2022-10-19 21:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 21:30:00",0,0,"NAN"
"2022-10-19 21:45:00",1871,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 21:45:00",0,"NAN","NAN","2022-10-19 21:45:00","NAN","2022-10-19 21:45:00","NAN","NAN","NAN","2022-10-19 21:45:00","NAN","2022-10-19 21:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 21:45:00",0,0,"NAN"
"2022-10-19 22:00:00",1872,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 22:00:00",0,"NAN","NAN","2022-10-19 22:00:00","NAN","2022-10-19 22:00:00","NAN","NAN","NAN","2022-10-19 22:00:00","NAN","2022-10-19 22:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 22:00:00",0,0,"NAN"
"2022-10-19 22:15:00",1873,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 22:15:00",0,"NAN","NAN","2022-10-19 22:15:00","NAN","2022-10-19 22:15:00","NAN","NAN","NAN","2022-10-19 22:15:00","NAN","2022-10-19 22:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 22:15:00",0,0,"NAN"
"2022-10-19 22:30:00",1874,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 22:30:00",0,"NAN","NAN","2022-10-19 22:30:00","NAN","2022-10-19 22:30:00","NAN","NAN","NAN","2022-10-19 22:30:00","NAN","2022-10-19 22:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 22:30:00",0,0,"NAN"
"2022-10-19 22:45:00",1875,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 22:45:00",0,"NAN","NAN","2022-10-19 22:45:00","NAN","2022-10-19 22:45:00","NAN","NAN","NAN","2022-10-19 22:45:00","NAN","2022-10-19 22:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 22:45:00",0,0,"NAN"
"2022-10-19 23:00:00",1876,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 23:00:00",0,"NAN","NAN","2022-10-19 23:00:00","NAN","2022-10-19 23:00:00","NAN","NAN","NAN","2022-10-19 23:00:00","NAN","2022-10-19 23:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 23:00:00",0,0,"NAN"
"2022-10-19 23:15:00",1877,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 23:15:00",0,"NAN","NAN","2022-10-19 23:15:00","NAN","2022-10-19 23:15:00","NAN","NAN","NAN","2022-10-19 23:15:00","NAN","2022-10-19 23:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 23:15:00",0,0,"NAN"
"2022-10-19 23:30:00",1878,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 23:30:00",0,"NAN","NAN","2022-10-19 23:30:00","NAN","2022-10-19 23:30:00","NAN","NAN","NAN","2022-10-19 23:30:00","NAN","2022-10-19 23:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 23:30:00",0,0,"NAN"
"2022-10-19 23:45:00",1879,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 23:45:00",0,"NAN","NAN","2022-10-19 23:45:00","NAN","2022-10-19 23:45:00","NAN","NAN","NAN","2022-10-19 23:45:00","NAN","2022-10-19 23:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 23:45:00",0,0,"NAN"
"2022-10-20 00:00:00",1880,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 00:00:00",0,"NAN","NAN","2022-10-20 00:00:00","NAN","2022-10-20 00:00:00","NAN","NAN","NAN","2022-10-20 00:00:00","NAN","2022-10-20 00:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 00:00:00",0,0,"NAN"
"2022-10-20 00:15:00",1881,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 00:15:00",0,"NAN","NAN","2022-10-20 00:15:00","NAN","2022-10-20 00:15:00","NAN","NAN","NAN","2022-10-20 00:15:00","NAN","2022-10-20 00:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 00:15:00",0,0,"NAN"
"2022-10-20 00:30:00",1882,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 00:30:00",0,"NAN","NAN","2022-10-20 00:30:00","NAN","2022-10-20 00:30:00","NAN","NAN","NAN","2022-10-20 00:30:00","NAN","2022-10-20 00:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 00:30:00",0,0,"NAN"
"2022-10-20 00:45:00",1883,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 00:45:00",0,"NAN","NAN","2022-10-20 00:45:00","NAN","2022-10-20 00:45:00","NAN","NAN","NAN","2022-10-20 00:45:00","NAN","2022-10-20 00:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 00:45:00",0,0,"NAN"
"2022-10-20 01:00:00",1884,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 01:00:00",0,"NAN","NAN","2022-10-20 01:00:00","NAN","2022-10-20 01:00:00","NAN","NAN","NAN","2022-10-20 01:00:00","NAN","2022-10-20 01:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 01:00:00",0,0,"NAN"
"2022-10-20 01:15:00",1885,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 01:15:00",0,"NAN","NAN","2022-10-20 01:15:00","NAN","2022-10-20 01:15:00","NAN","NAN","NAN","2022-10-20 01:15:00","NAN","2022-10-20 01:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 01:15:00",0,0,"NAN"
"2022-10-20 01:30:00",1886,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 01:30:00",0,"NAN","NAN","2022-10-20 01:30:00","NAN","2022-10-20 01:30:00","NAN","NAN","NAN","2022-10-20 01:30:00","NAN","2022-10-20 01:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 01:30:00",0,0,"NAN"
"2022-10-20 01:45:00",1887,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 01:45:00",0,"NAN","NAN","2022-10-20 01:45:00","NAN","2022-10-20 01:45:00","NAN","NAN","NAN","2022-10-20 01:45:00","NAN","2022-10-20 01:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 01:45:00",0,0,"NAN"
"2022-10-20 02:00:00",1888,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 02:00:00",0,"NAN","NAN","2022-10-20 02:00:00","NAN","2022-10-20 02:00:00","NAN","NAN","NAN","2022-10-20 02:00:00","NAN","2022-10-20 02:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 02:00:00",0,0,"NAN"
"2022-10-20 02:15:00",1889,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 02:15:00",0,"NAN","NAN","2022-10-20 02:15:00","NAN","2022-10-20 02:15:00","NAN","NAN","NAN","2022-10-20 02:15:00","NAN","2022-10-20 02:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 02:15:00",0,0,"NAN"
"2022-10-20 02:30:00",1890,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-20 02:30:00",0,"NAN","NAN","2022-10-20 02:30:00","NAN","2022-10-20 02:30:00","NAN","NAN","NAN","2022-10-20 02:30:00","NAN","2022-10-20 02:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-20 02:30:00",0,0,"NAN"
